file,model,seed,label_ratio,transfer_method,zero_shot_f1,target_f1,target_ece,improvement
results/d4/sim2real/enhanced_s3_bs8_lr1e-3_me50_ft_0p01.json,enhanced,3,0.01,fine_tune,0.1262879254012117,0.41905970434150197,0.3431855135080021,0.2927717789402903
results/d4/sim2real/enhanced_s1_bs8_lr1e-3_me50_ft_0.01.json,enhanced,1,0.01,fine_tune,0.1520509260857634,0.4757968244925208,0.3358966345873976,0.3237458984067574
results/d4/sim2real/enhanced_s1_bs16_lr1e-2_me50_lp_0.01.json,enhanced,1,0.01,linear_probe,0.1520509260857634,0.22076461456519042,0.3516278315875218,0.06871368847942702
results/d4/sim2real/enhanced_s2_bs16_lr1e-2_me50_lp_0.05.json,enhanced,2,0.05,linear_probe,0.15712080200317946,0.16625506588532532,0.4772700595718071,0.00913426388214586
results/d4/sim2real/enhanced_s3_bs16_lr1e-2_me50_lp_0.05.json,enhanced,3,0.05,linear_probe,0.1255000332780741,0.16879462799769526,0.5419423404627216,0.04329459471962116
results/d4/sim2real/enhanced_s1_zs_0.01.json,enhanced,1,0.01,zero_shot,0.1520509260857634,0.1520509260857634,0.7784896129308465,0.0
results/d4/sim2real/enhanced_s2_bs8_lr1e-3_me50_ft_1.json,enhanced,2,1.0,fine_tune,0.125,0.8333333333333333,0.00794731080532074,0.7083333333333333
results/d4/sim2real/enhanced_seed0_bs16_lr5e-3_me30_ft_0p01.json,enhanced,0,0.01,fine_tune,0.15399177403190614,0.32925709189184227,0.31955516897919783,0.17526531785993613
results/d4/sim2real/enhanced_s3_bs8_lr1e-3_me50_ft_1.json,enhanced,3,1.0,fine_tune,0.13333333333333333,0.8333333333333333,0.02201172709465027,0.7
results/d4/sim2real/enhanced_s2_bs8_lr1e-3_me50_ft_0.1.json,enhanced,2,0.1,fine_tune,0.15688454012718644,0.5558031360146026,0.04992872260584586,0.3989185958874162
results/d4/sim2real/enhanced_s4_bs8_lr1e-3_me50_ft_1.json,enhanced,4,1.0,fine_tune,0.08333333333333333,0.8333333333333333,0.03739285469055176,0.7499999999999999
results/d4/sim2real/enhanced_s2_zs_0.05.json,enhanced,2,0.05,zero_shot,0.15712080200317946,0.15712080200317946,0.748043237017141,0.0
results/d4/sim2real/smoke_enhanced_0.01_zero_shot_seed0.json,enhanced,0,0.01,zero_shot,0.15399177403190614,0.15399177403190614,0.7220987311722649,0.0
results/d4/sim2real/enhanced_s1_bs16_lr1e-2_me50_lp_0.05.json,enhanced,1,0.05,linear_probe,0.15305379445947276,0.2251406903913642,0.38675340771715006,0.07208689593189144
